Date,Close,High,Low,Open,Volume,Ticker
,NVDA,NVDA,NVDA,NVDA,NVDA,
2022-01-03,30.066137313842773,30.655062828671504,29.730748869082344,29.760694911893392,391547000,NVDA
2022-01-04,29.236652374267578,30.412506273159206,28.29736631833969,30.221854174052957,527154000,NVDA
2022-01-05,27.55371856689453,29.362418228011627,27.48284874848691,28.89626792314442,498064000,NVDA
2022-01-06,28.126670837402344,28.386197453418056,27.015699298709755,27.589650744237954,454186000,NVDA
2022-01-07,27.197372436523438,28.370233450289252,27.007717966779992,28.089745122678423,409939000,NVDA
2022-01-10,27.35009002685547,27.41896458581148,25.59728809455643,26.53258160637673,594681000,NVDA
2022-01-11,27.76633071899414,28.013880083162555,26.79011341199353,27.273231058770712,404089000,NVDA
2022-01-12,27.948001861572266,28.542915045615825,27.557713300921407,28.015876891332525,383413000,NVDA
2022-01-13,26.526594161987305,28.428122969014137,26.449732849381693,28.327307108956052,540171000,NVDA
2022-01-14,26.892925262451172,27.147461852547423,26.162258231690252,26.25209445126841,395832000,NVDA
2022-01-18,25.855819702148438,26.589481569568324,25.723062529446103,26.212169806434513,424270000,NVDA
2022-01-19,25.021339416503906,26.494650686731937,25.006367348530603,26.031497074855327,488315000,NVDA
2022-01-20,24.106014251708984,25.532412409399285,24.03414488558549,25.257913658748425,435181000,NVDA
2022-01-21,23.331424713134766,24.777784759787487,23.220626839158037,23.464181874321053,718958000,NVDA
2022-01-24,23.329425811767578,23.33741066036297,20.849951358719302,22.28932407918508,913982000,NVDA
2022-01-25,22.28333854675293,22.90121248823554,21.95992927328255,22.504934318540393,664616000,NVDA
2022-01-26,22.730518341064453,24.013177458484208,22.259378004965594,23.197666252872104,755959000,NVDA
2022-01-27,21.90403175354004,23.951296685258097,21.635520701076413,23.525074371304836,573353000,NVDA
2022-01-28,22.79840087890625,22.816367744577487,21.257212394458783,21.971907923157,543774000,NVDA
2022-01-31,24.44139862060547,24.46435744178253,23.010010647578866,23.1397730138584,564680000,NVDA
2022-02-01,24.593124389648438,25.099200900238642,23.84648571371286,25.05827521283449,518925000,NVDA
2022-02-02,25.196022033691406,25.769973523352174,24.508275972398696,25.74701660609037,543419000,NVDA
2022-02-03,23.90437889099121,25.03132213841191,23.736685632544873,24.41345015911327,410178000,NVDA
2022-02-04,24.274700164794922,24.590124516316973,23.58895134646191,23.928332146544108,354829000,NVDA
2022-02-07,24.682958602905273,25.13613021047086,24.15791573679818,24.32760615805768,376868000,NVDA
2022-02-08,25.06226348876953,25.184040996681343,23.936317975792957,24.31462730633743,410359000,NVDA
2022-02-09,26.656352996826172,26.67631702093288,25.306816571523118,25.57532565142409,524282000,NVDA
2022-02-10,25.776960372924805,26.875954707575385,25.55336936906097,25.94765032405226,513200000,NVDA
2022-02-11,23.905376434326172,26.10436470242998,23.729698327222916,25.868794514206858,605472000,NVDA
2022-02-14,24.222797393798828,24.829689712177974,23.71172897587469,23.890403776889993,440424000,NVDA
2022-02-15,26.44674301147461,26.49665118023949,24.738858974406003,24.903557454429787,699869000,NVDA
2022-02-16,26.462711334228516,26.533583062525306,25.505458466161382,26.21117143516682,732676000,NVDA
2022-02-17,24.462360382080078,25.7380323786974,24.12098428061529,25.583314026352607,810595000,NVDA
2022-02-18,23.598936080932617,24.9404878356842,23.057923521612185,24.623066283551836,761255000,NVDA
2022-02-22,23.347394943237305,24.02016705160959,22.95810593018272,22.993042026027393,633422000,NVDA
