Date,Close,High,Low,Open,Volume,Ticker
,AAPL,AAPL,AAPL,AAPL,AAPL,
2022-01-03,178.6456298828125,179.49955854778523,174.42512523500616,174.54290230186947,104487900,AAPL
2022-01-04,176.3783416748047,179.55845745447346,175.8090608575143,179.25419002967348,99310400,AAPL
2022-01-05,171.68670654296875,176.83966343060843,171.41188337376713,176.29001709220518,94537600,AAPL
2022-01-06,168.8207244873047,172.05972975479347,168.46737818581968,169.5077825799858,96904000,AAPL
2022-01-07,168.987548828125,170.92113587009246,167.86862157848182,169.69424129913546,86709100,AAPL
2022-01-10,169.00717163085938,169.31143906710747,165.06147477041716,165.95465755063788,106765600,AAPL
2022-01-11,171.84378051757812,171.9419231072243,167.66252878475484,169.1348024201247,76138300,AAPL
2022-01-12,172.28543090820312,173.90492564658769,171.58856322387598,172.86452151388104,74805200,AAPL
2022-01-13,169.00717163085938,173.35527850038557,168.61455640929785,172.53080900021536,84505800,AAPL
2022-01-14,169.8709259033203,170.56779364905069,167.92751407393143,168.17289299389805,80440800,AAPL
2022-01-18,166.66134643554688,169.35068950665382,166.27855596311068,168.33972966979056,90956700,AAPL
2022-01-19,163.1573486328125,167.91770571060235,162.87271567304091,166.85766697028808,94815000,AAPL
2022-01-20,161.46914672851562,166.54358123585433,161.14524474165466,163.89349177041368,91420500,AAPL
2022-01-21,159.407958984375,163.25549850314817,159.29999166470387,161.38080003283116,122848900,AAPL
2022-01-24,158.6325225830078,159.29996087836932,151.84043745137762,157.06210684561927,162294600,AAPL
2022-01-25,156.82655334472656,159.7514654895658,154.1175758189767,156.04133790955973,115798400,AAPL
2022-01-26,156.73822021484375,161.35134029387297,154.90279093312674,160.47779205545413,108275300,AAPL
2022-01-27,156.27688598632812,160.81148242302393,155.35425909751854,159.44717659164758,121954600,AAPL
2022-01-28,167.18154907226562,167.2011835771804,159.79073801782928,162.64695192499494,179935700,AAPL
2022-01-31,171.54930114746094,171.76523578487254,166.37670956776643,167.0147037152971,115541600,AAPL
2022-02-01,171.38243103027344,171.60817541361024,169.12494226668923,170.79351570873365,86213900,AAPL
2022-02-02,172.58966064453125,172.62892964666247,170.12606243492925,171.51981247586528,84914300,AAPL
2022-02-03,169.7040557861328,172.98232955327137,168.9384747506924,171.2548523641826,89418100,AAPL
